Manufacturer,Series,Model Number,AC Power (kW),Approval Date,Expiry date
RedEarth Energy Storage Ltd,SRS,SRS-325 NS (AS4777-2 2020),10,19/05/2023,23/04/2026
RedEarth Energy Storage Ltd,SRS,SRS-328 NS (AS4777-2 2020),10,19/05/2023,23/04/2026
RedEarth Energy Storage Ltd,SRS,SRS-332 NS (AS4777-2 2020),10,19/05/2023,23/04/2026
RedEarth Energy Storage Ltd,SunRise 3 phase,SRS-300 (AS4777-2 2020),10,10/11/2023,23/04/2026
RedEarth Energy Storage Ltd,SunRise 3 phase,SRS-318 (AS4777-2 2020),10,10/11/2023,23/04/2026
RedEarth Energy Storage Ltd,SunRise 3 phase,SRS-321 (AS4777-2 2020),10,10/11/2023,23/04/2026
RedEarth Energy Storage Ltd,SunRise 3 phase,SRS-325 (AS4777-2 2020),10,10/11/2023,23/04/2026
RedEarth Energy Storage Ltd,SunRise 3 phase,SRS-328 (AS4777-2 2020),10,10/11/2023,23/04/2026
RedEarth Energy Storage Ltd,SunRise 3 phase,SRS-332 (AS4777-2 2020),10,10/11/2023,23/04/2026
RedEarth Energy Storage Ltd,Surepower,Surepower 5000,5,1/07/2021,1/07/2024
RedEarth Energy Storage Pty Ltd,SunRise,SRM-100 (AS4777-2 2020),4.99,19/05/2023,9/10/2024
RedEarth Energy Storage Pty Ltd,SunRise,SRM-104 (AS4777-2 2020),4.99,19/05/2023,9/10/2024
RedEarth Energy Storage Pty Ltd,SunRise,SRM-108 (AS4777-2 2020),4.99,19/05/2023,9/10/2024
RedEarth Energy Storage Pty Ltd,SunRise,SRM-112 (AS4777-2 2020),4.99,19/05/2023,9/10/2024
RedEarth Energy Storage Pty Ltd,SunRise,SRM-200 (AS4777-2 2020),4.99,19/05/2023,9/10/2024
RedEarth Energy Storage Pty Ltd,SunRise,SRM-204 (AS4777-2 2020),4.99,19/05/2023,9/10/2024
RedEarth Energy Storage Pty Ltd,SunRise,SRM-208 (AS4777-2 2020),4.99,19/05/2023,9/10/2024
RedEarth Energy Storage Pty Ltd,SunRise,SRM-212 (AS4777-2 2020),4.99,19/05/2023,9/10/2024
RedEarth Energy Storage Pty Ltd,SunRise,SRS-104 (AS4777-2 2020),4.99,19/05/2023,9/10/2024
RedEarth Energy Storage Pty Ltd,SunRise,SRS-108 (AS4777-2 2020),4.99,19/05/2023,9/10/2024
RedEarth Energy Storage Pty Ltd,SunRise,SRS-112 (AS4777-2 2020),4.99,19/05/2023,9/10/2024
RedEarth Energy Storage Pty Ltd,SunRise,SRS-116 (AS4777-2 2020),4.99,19/05/2023,9/10/2024
RedEarth Energy Storage Pty Ltd,SunRise,SRS-120 (AS4777-2 2020),4.99,19/05/2023,9/10/2024
RedEarth Energy Storage Pty Ltd,SunRise,SRS-124 (AS4777-2 2020),4.99,19/05/2023,9/10/2024
RedEarth Energy Storage Pty Ltd,SunRise,SRS-204 (AS4777-2 2020),4.99,19/05/2023,9/10/2024
RedEarth Energy Storage Pty Ltd,SunRise,SRS-208 (AS4777-2 2020),4.99,19/05/2023,9/10/2024
RedEarth Energy Storage Pty Ltd,SunRise,SRS-212 (AS4777-2 2020),4.99,19/05/2023,9/10/2024
RedEarth Energy Storage Pty Ltd,SunRise,SRS-216 (AS4777-2 2020),4.99,19/05/2023,9/10/2024
RedEarth Energy Storage Pty Ltd,SunRise,SRS-220 (AS4777-2 2020),4.99,19/05/2023,9/10/2024
RedEarth Energy Storage Pty Ltd,SunRise,SRS-224 (AS4777-2 2020),4.99,19/05/2023,9/10/2024
Redx Technology Australia Pty Ltd,RX,RX-5000AC (AS4777-2 2020),5,19/06/2023,19/06/2026
Redx Technology Australia Pty Ltd,RX,RX-5000HY (AS4777-2 2020),5,19/06/2023,19/06/2026
Redx Technology Australia Pty Ltd,RX,RX-7000HY (AS4777-2 2020),7,19/06/2023,19/06/2026
Redx Technology Australia Pty Ltd,RX-5000Plus Series,RX-5006Plus (AS4777-2 2020),5,3/02/2025,3/02/2028
Redx Technology Australia Pty Ltd,RX-5000Plus Series,RX-5010Plus (AS4777-2 2020),5,3/02/2025,3/02/2028
Redx Technology Australia Pty Ltd,RX-5000Plus Series,RX-5013Plus (AS4777-2 2020),5,3/02/2025,3/02/2028
Redx Technology Australia Pty Ltd,RX-7000Plus Series,RX-7006Plus (AS4777-2 2020),5,3/02/2025,3/02/2028
Redx Technology Australia Pty Ltd,RX-7000Plus Series,RX-7010Plus (AS4777-2 2020),7,3/02/2025,3/02/2028
Redx Technology Australia Pty Ltd,RX-7000Plus Series,RX-7013Plus (AS4777-2 2020),7,3/02/2025,3/02/2028
Regulator,Regulator,NI0001,1000,1/04/2001,31/12/2030
Schneider Electric Solar Inc,CL,CL 30 (AS4777-2 2020),29.9,2/06/2022,2/06/2025
Schneider Electric Solar Inc,CL,CL 50 (AS4777-2 2020),50,2/06/2022,2/06/2025
Schneider Electric Solar Inc,XW Pro,XW Pro 8548 (AS4777-2 2020),5,8/06/2023,28/08/2025
SE GROUP LTD,DURACELL ENERGY BANK 3,DEB3-RF-5.0kW-I (AS4777-2 2020),4.999,18/07/2022,18/07/2025
Selectronic Australia,SP PRO,SPLC1200 (AS4777-2 2020),15,31/08/2022,29/11/2025
Selectronic Australia,SP PRO,SPLC1202 (AS4777-2 2020),20,31/08/2022,29/11/2025
Selectronic Australia,SP PRO,SPMC 241-AU,4.5,21/07/2022,20/09/2025
Selectronic Australia,SP PRO,SPMC1201,7.5,21/07/2022,20/09/2025
Selectronic Australia,SP PRO,SPMC240-AU,3,21/07/2022,20/09/2025
Selectronic Australia,SP PRO,SPMC480-AU (AS4777-2 2020),3.5,8/04/2022,10/09/2025
Selectronic Australia,SP PRO,SPMC481-AU (AS4777-2 2020),5,8/04/2022,10/09/2025
Selectronic Australia,SP PRO,SPMC482-AU (AS4777-2 2020),7.5,8/04/2022,10/09/2025
SENEC GmbH,SENEC.Home V3,SENEC.Home V3 hybrid 10 (AS4777-2 2020),5,22/04/2022,22/04/2025
SENEC GmbH,SENEC.Home V3,SENEC.Home V3 hybrid 10 + SENEC.Backup Power pro (AS4777-2 2020),5,16/05/2023,22/04/2025
SENEC GmbH,SENEC.Home V3,SENEC.Home V3 hybrid 5 (AS4777-2 2020),5,22/04/2022,22/04/2025
SENEC GmbH,SENEC.Home V3,SENEC.Home V3 hybrid 5 + SENEC.Backup Power pro (AS4777-2 2020),5,16/05/2023,22/04/2025
Shanghai Chelion Renewable Technology Co Ltd,iHome,iHome-INV5K-H1H01 (AS4777-2 2020),5,15/11/2023,15/11/2026
Shanghai Chelion Renewable Technology Co Ltd,iHome,iHome-INV6K-H1H01 (AS4777-2 2020),6,15/11/2023,15/11/2026
Shanghai Chelion Renewable Technology Co Ltd,iHome-INV,iHome-INV5K-L1H02 (AS4777-2 2020),5,28/08/2023,28/08/2026
Shanghai Chelion Renewable Technology Co Ltd,iHome-INV,iHome-INV6K-L1H02 (AS4777-2 2020),6,28/08/2023,28/08/2026
Shanghai Chint Power Systems Co LTD,CPS SCA-T,CPS SCA10KTL-T1/EU (AS4777-2 2020),10,29/08/2023,29/08/2026
Shanghai Chint Power Systems Co LTD,CPS SCA-T,CPS SCA15KTL-T1/EU (AS4777-2 2020),15,29/08/2023,29/08/2026
Shanghai Chint Power Systems Co LTD,CPS SCA-T,CPS SCA20KTL-T1/EU (AS4777-2 2020),20,29/08/2023,29/08/2026
Shanghai Chint Power Systems Co LTD,CPS SCA-T,CPS SCA25KTL-T1/EU (AS4777-2 2020),25,29/08/2023,29/08/2026
Shanghai Chint Power Systems Co LTD,CPS SCA-T,CPS SCA6KTL-T1/EU (AS4777-2 2020),6,29/08/2023,29/08/2026
Shanghai Chint Power Systems Co LTD,N/A,CPS SCA10KTL-PSM/EU (AS4777-2 2020),10,29/11/2023,29/11/2026
Shanghai Chint Power Systems Co LTD,N/A,CPS SCA5KTL-PSM1/EU (AS4777-2 2020),5,29/11/2023,29/11/2026
Shanghai Chint Power Systems Co LTD,N/A,CPS SCA6KTL-PSM1/EU (AS4777-2 2020),6,29/11/2023,29/11/2026
Shanghai Chint Power Systems Co LTD,N/A,CPS SCA8KTL-PSM/EU (AS4777-2 2020),8,29/11/2023,29/11/2026
Shanghai Sieyuan Watten Technology Co Ltd,H1 Series,SiH-10kW-TH (AS4777-2 2020),10,21/11/2024,21/11/2027
Shanghai Sieyuan Watten Technology Co Ltd,H1 Series,SiH-5kW-TH (AS4777-2 2020),5,21/11/2024,21/11/2027
Shanghai Sieyuan Watten Technology Co Ltd,H1 Series,SiH-6kW-TH (AS4777-2 2020),6,21/11/2024,21/11/2027
Shanghai Sieyuan Watten Technology Co Ltd,H1 Series,SiH-8kW-TH (AS4777-2 2020),8,21/11/2024,21/11/2027
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Controller,SigenStor EC 10.0 SP AU (AS4777-2 2020),9.999,4/03/2025,4/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Controller,SigenStor EC 10.0 TP AU (AS4777-2 2020),9.999,7/04/2025,7/04/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Controller,SigenStor EC 12.0 SP AU (AS4777-2 2020),12,4/03/2025,4/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Controller,SigenStor EC 12.0 TP AU (AS4777-2 2020),12,7/04/2025,7/04/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Controller,SigenStor EC 15.0 TP AU (AS4777-2 2020),15,7/04/2025,7/04/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Controller,SigenStor EC 17.0 TP AU (AS4777-2 2020),17,7/04/2025,7/04/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Controller,SigenStor EC 20.0 TP AU (AS4777-2 2020),20,7/04/2025,7/04/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Controller,SigenStor EC 25.0 TP AU (AS4777-2 2020),25,7/04/2025,7/04/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Controller,SigenStor EC 30.0 TP AU (AS4777-2 2020),29.999,7/04/2025,7/04/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Controller,SigenStor EC 5.0 TP AU (AS4777-2 2020),5,7/04/2025,7/04/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Controller,SigenStor EC 6.0 TP AU (AS4777-2 2020),6,7/04/2025,7/04/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Controller,SigenStor EC 8.0 SP AU (AS4777-2 2020),8,4/03/2025,4/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Controller,SigenStor EC 8.0 TP AU (AS4777-2 2020),8,7/04/2025,7/04/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10S-10 (AS4777-2 2020),9.999,4/03/2025,4/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10S-13 (AS4777-2 2020),9.999,4/03/2025,4/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10S-16 (AS4777-2 2020),9.999,4/03/2025,4/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10S-24 (AS4777-2 2020),9.999,4/03/2025,4/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10S-32 (AS4777-2 2020),9.999,4/03/2025,4/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10S-40 (AS4777-2 2020),9.999,4/03/2025,4/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10S-48 (AS4777-2 2020),9.999,4/03/2025,4/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10S-8 (AS4777-2 2020),9.999,4/03/2025,4/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10S-EV12-10 (AS4777-2 2020),9.999,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10S-EV12-16 (AS4777-2 2020),9.999,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10S-EV12-24 (AS4777-2 2020),9.999,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10S-EV12-32 (AS4777-2 2020),9.999,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10S-EV12-40 (AS4777-2 2020),9.999,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10S-EV12-8 (AS4777-2 2020),9.999,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10S-EV25-10 (AS4777-2 2020),9.999,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10S-EV25-16 (AS4777-2 2020),9.999,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10S-EV25-24 (AS4777-2 2020),9.999,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10S-EV25-32 (AS4777-2 2020),9.999,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10S-EV25-40 (AS4777-2 2020),9.999,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10S-EV25-8 (AS4777-2 2020),9.999,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-10 (AS4777-2 2020),9.999,3/10/2024,3/10/2027
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-13 (AS4777-2 2020),9.999,3/10/2024,3/10/2027
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-16 (AS4777-2 2020),9.999,3/10/2024,3/10/2027
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-21 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-24 (AS4777-2 2020),9.999,3/10/2024,3/10/2027
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-29 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-32 (AS4777-2 2020),9.999,3/10/2024,3/10/2027
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-37 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-40 (AS4777-2 2020),9.999,3/10/2024,3/10/2027
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-48 (AS4777-2 2020),9.999,3/10/2024,3/10/2027
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-5 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-8 (AS4777-2 2020),9.999,3/10/2024,3/10/2027
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV12-10 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV12-13 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV12-16 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV12-18 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV12-21 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV12-24 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV12-26 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV12-29 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV12-32 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV12-34 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV12-37 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV12-40 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV12-5 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV12-8 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV25-10 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV25-13 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV25-16 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV25-18 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV25-21 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV25-24 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV25-26 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV25-29 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV25-32 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV25-34 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV25-37 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV25-40 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV25-5 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-10T-EV25-8 (AS4777-2 2020),9.999,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-12S-10 (AS4777-2 2020),12,4/03/2025,4/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-12S-13 (AS4777-2 2020),12,4/03/2025,4/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-12S-16 (AS4777-2 2020),12,4/03/2025,4/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-12S-24 (AS4777-2 2020),12,4/03/2025,4/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-12S-32 (AS4777-2 2020),12,4/03/2025,4/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-12S-40 (AS4777-2 2020),12,4/03/2025,4/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-12S-48 (AS4777-2 2020),12,4/03/2025,4/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-12S-8 (AS4777-2 2020),12,4/03/2025,4/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-12S-EV12-10 (AS4777-2 2020),12,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-12S-EV12-16 (AS4777-2 2020),12,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-12S-EV12-24 (AS4777-2 2020),12,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-12S-EV12-32 (AS4777-2 2020),12,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-12S-EV12-40 (AS4777-2 2020),12,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-12S-EV12-8 (AS4777-2 2020),12,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-12S-EV25-10 (AS4777-2 2020),12,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-12S-EV25-16 (AS4777-2 2020),12,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-12S-EV25-24 (AS4777-2 2020),12,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-12S-EV25-32 (AS4777-2 2020),12,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-12S-EV25-40 (AS4777-2 2020),12,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-12S-EV25-8 (AS4777-2 2020),12,14/03/2025,14/03/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-10 (AS4777-2 2020),15,3/10/2024,3/10/2027
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-13 (AS4777-2 2020),15,3/10/2024,3/10/2027
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-16 (AS4777-2 2020),15,3/10/2024,3/10/2027
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-21 (AS4777-2 2020),15,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-24 (AS4777-2 2020),15,3/10/2024,3/10/2027
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-29 (AS4777-2 2020),15,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-32 (AS4777-2 2020),15,3/10/2024,3/10/2027
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-37 (AS4777-2 2020),15,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-40 (AS4777-2 2020),15,3/10/2024,3/10/2027
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-48 (AS4777-2 2020),15,3/10/2024,3/10/2027
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-5 (AS4777-2 2020),15,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-8 (AS4777-2 2020),15,3/10/2024,3/10/2027
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-EV12-10 (AS4777-2 2020),15,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-EV12-13 (AS4777-2 2020),15,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-EV12-16 (AS4777-2 2020),15,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-EV12-18 (AS4777-2 2020),15,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-EV12-21 (AS4777-2 2020),15,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-EV12-24 (AS4777-2 2020),15,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-EV12-26 (AS4777-2 2020),15,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-EV12-29 (AS4777-2 2020),15,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-EV12-32 (AS4777-2 2020),15,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-EV12-34 (AS4777-2 2020),15,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-EV12-37 (AS4777-2 2020),15,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-EV12-40 (AS4777-2 2020),15,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-EV12-5 (AS4777-2 2020),15,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-EV12-8 (AS4777-2 2020),15,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-EV25-10 (AS4777-2 2020),15,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-EV25-13 (AS4777-2 2020),15,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-EV25-16 (AS4777-2 2020),15,19/08/2025,19/08/2028
Shanghai SIGEN New Energy Technology Co Ltd,Sigen Energy Storage System,SigenStor-15T-EV25-18 (AS4777-2 2020),15,19/08/2025,19/08/2028
